"X","Swidtab","Cygnets","CygnetsII","CygnetsIII","Age","PrevSeaMaxDUr","PrevSeaMove","PrevSSites","SWID","Sex","Season","PrevSeason","PrevSeaWWT","MainSite","PrevSeaMS","PrevSeaBS","ThisSeaWWT","PrevSeaWWT.1","Julian","PrevSeaJulian","PBS","PopBSAll","Ind","WWTBOTH","WWTNON","WWTOUT","WWTIN","WWTNEW","Age.Z","PBS.Z","PopBSAll.Z","PrevSeaMaxDUr","PrevSSites.Z","PrevSeaJulian.Z"
"44",74,15,2,2,1,9,137,NA,1,"D00015","F",1987,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",65,69,17,17.4,51,"WWTBOTH","","","","WWTBOTH",0.902652353577361,5.0235893526958,0.262216011128378,137,-0.596234559041618,-0.944831500268067
"45",75,15,0,NA,0,10,114,NA,1,"D00015","F",1988,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,65,17,8.5,52,"WWTBOTH","","","","WWTBOTH",1.21369002252518,5.0235893526958,-2.25275881709557,114,-0.596234559041618,-1.33262233694982
"46",76,15,0,NA,0,11,110,NA,1,"D00015","F",1989,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,NA,17,9.8,53,"WWTBOTH","","","","WWTBOTH",1.52472769147299,5.0235893526958,-1.88540294331005,110,-0.596234559041618,NA
"47",80,16,0,NA,0,2,64,NA,1,"D00016","M",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,NA,0,15.69,54,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-0.220998253620267,64,-0.596234559041618,NA
"48",82,16,0,NA,0,7,62,NA,1,"D00016","M",1988,"Yes","Yes","GB-MMR","GB-WEL",NA,"Yes","Yes",NA,73,0,8.5,55,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,-2.25275881709557,62,-0.596234559041618,-0.55704066358631
"49",86,18,0,NA,0,2,65,NA,1,"D00018","M",1983,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,NA,0,15.69,56,"WWTBOTH","","","","WWTBOTH",-1.27461132905735,-0.451859155995521,-0.220998253620267,65,-0.596234559041618,NA
"50",90,20,0,NA,0,5,7,7.318653394,2,"D00020","F",1985,"Yes","Yes","GB-CAE","GB-WEL",NA,"Yes","Yes",71,NA,0,22.9,57,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,1.8164139386825,7,0.527944169837395,NA
"51",92,20,3,3,1,11,19,NA,1,"D00020","F",1991,"Yes","No","GB-CAE","GB-CAE",NA,"Yes","Yes",NA,NA,3,20.2,58,"WWTBOTH","","","","WWTBOTH",1.52472769147299,0.514396463185301,1.05344404697411,19,-0.596234559041618,NA
"52",96,21,0,NA,0,4,97,NA,1,"D00021","M",1986,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",72,95,0,11.2,60,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.48978892538718,97,-0.596234559041618,1.57580893816335
"53",97,21,0,NA,0,5,112,NA,1,"D00021","M",1987,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",76,72,0,17.4,61,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,0.262216011128378,112,-0.596234559041618,-0.653988372756749
"54",98,21,0,NA,0,6,101,NA,1,"D00021","M",1988,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",83,76,0,8.5,62,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,-2.25275881709557,101,-0.596234559041618,-0.266197536074993
"55",99,21,0,NA,0,7,125,NA,1,"D00021","M",1989,"Yes","Yes","GB-WEL","GB-WEL","IS-LYB","Yes","Yes",NA,83,0,9.8,63,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,-1.88540294331005,125,-0.596234559041618,0.412436428118081
"56",100,21,0,NA,0,8,69,NA,1,"D00021","M",1990,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",67,NA,0,16.99,64,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,0.146357620165253,69,-0.596234559041618,NA
"57",101,21,0,NA,0,9,126,NA,1,"D00021","M",1991,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",88,67,0,20.2,65,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,1.05344404697411,126,-0.596234559041618,-1.13872691860894
"58",102,21,0,NA,0,10,141,NA,1,"D00021","M",1992,"Yes","Yes","GB-WEL","GB-WEL","IS-SNV","Yes","Yes",80,88,0,12.8,66,"WWTBOTH","","","","WWTBOTH",1.21369002252518,-0.451859155995521,-1.03765861918962,141,-0.596234559041618,0.897174973970276
"59",103,21,0,NA,0,11,157,NA,1,"D00021","M",1993,"Yes","Yes","GB-WEL","GB-WEL","IS-SNV","Yes","Yes",79,80,0,16,67,"WWTBOTH","","","","WWTBOTH",1.52472769147299,-0.451859155995521,-0.133398006794489,157,-0.596234559041618,0.121593300606763
"60",104,21,0,NA,0,12,135,NA,1,"D00021","M",1994,"Yes","Yes","GB-WEL","GB-WEL","IS-SNV","Yes","Yes",NA,79,0,17.9,68,"WWTBOTH","","","","WWTBOTH",1.83576536042081,-0.451859155995521,0.403506731815117,135,-0.596234559041618,0.0246455914363242
"61",112,26,0,NA,0,4,119,NA,1,"D00026","F",1991,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",75,60,0,20.2,69,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,1.05344404697411,119,-0.596234559041618,-1.81736088280202
"62",113,26,0,NA,0,5,98,NA,1,"D00026","F",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,75,0,12.8,70,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-1.03765861918962,98,-0.596234559041618,-0.363145245245432
"63",114,26,0,NA,0,6,115,NA,1,"D00026","F",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",71,NA,0,16,71,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,-0.133398006794489,115,-0.596234559041618,NA
"64",115,26,0,NA,0,7,68,NA,1,"D00026","F",1994,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",85,71,0,17.9,72,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.403506731815117,68,-0.596234559041618,-0.750936081927188
"65",116,26,0,NA,0,8,73,344.3792122,2,"D00026","F",1995,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",76,85,0,18.29,73,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,0.513713493950773,73,0.527944169837395,0.606331846458959
"66",119,26,0,NA,0,13,138,7.292389974,2,"D00026","F",2000,"Yes","Yes","GB-TPE","GB-WEL",NA,"No","Yes",NA,77,0,16.32,74,"","","WWTOUT","","WWTOUT",2.14680302936863,-0.451859155995521,-0.0429719455549764,138,0.527944169837395,-0.169249826904554
"67",121,26,0,NA,0,15,16,NA,1,"D00026","F",2002,"Yes","Yes","GB-TPE","GB-TPE",NA,"No","No",69,NA,0,13.75,75,"","WWTNON","","","WWTNON",2.76887836726426,-0.451859155995521,-0.769206249884813,16,-0.596234559041618,NA
"68",130,30,0,NA,0,4,139,NA,1,"D00030","F",1991,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",80,80,0,20.2,76,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,1.05344404697411,139,-0.596234559041618,0.121593300606763
"69",131,30,0,NA,0,5,133,NA,1,"D00030","F",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",85,80,0,12.8,77,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-1.03765861918962,133,-0.596234559041618,0.121593300606763
"70",132,30,0,NA,0,6,134,NA,1,"D00030","F",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",94,85,0,16,78,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,-0.451859155995521,-0.133398006794489,134,-0.596234559041618,0.606331846458959
"71",133,30,0,NA,0,7,145,NA,1,"D00030","F",1994,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",86,94,0,17.9,79,"WWTBOTH","","","","WWTBOTH",0.280577015681729,-0.451859155995521,0.403506731815117,145,-0.596234559041618,1.47886122899291
"72",134,30,0,NA,0,8,128,NA,1,"D00030","F",1995,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",76,86,0,18.29,80,"WWTBOTH","","","","WWTBOTH",0.591614684629545,-0.451859155995521,0.513713493950773,128,-0.596234559041618,0.703279555629398
"73",135,30,0,NA,0,9,123,NA,1,"D00030","F",1996,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,76,0,20.63,81,"WWTBOTH","","","","WWTBOTH",0.902652353577361,-0.451859155995521,1.17495406676471,123,-0.596234559041618,-0.266197536074993
"74",142,32,0,NA,0,3,68,NA,1,"D00032","F",1993,"Yes","No","GB-MMR","GB-CSW",NA,"Yes","No",NA,66,0,16,82,"","","","WWTIN","WWTIN",-0.963573660109535,-0.451859155995521,-0.133398006794489,68,-0.596234559041618,-1.23567462777938
"75",143,32,0,NA,0,4,133,NA,1,"D00032","F",1994,"Yes","Yes","GB-MMR","GB-LNT",NA,"Yes","No",NA,NA,0,17.9,83,"","","","WWTIN","WWTIN",-0.652535991161719,-0.451859155995521,0.403506731815117,133,-0.596234559041618,NA
"76",144,32,0,NA,0,5,100,NA,1,"D00032","F",1995,"Yes","Yes","NI-BLB","GB-MMR",NA,"No","Yes",85,NA,0,18.29,84,"","","WWTOUT","","WWTOUT",-0.341498322213903,-0.451859155995521,0.513713493950773,100,-0.596234559041618,NA
"77",146,32,2,2,1,8,72,277.3432399,3,"D00032","F",1998,"Yes","Yes","GB-MMR","NI-BLB",NA,"Yes","No",NA,64,2,20.44,85,"","","","WWTIN","WWTIN",0.591614684629545,0.192311256791694,1.12126359290375,72,1.65212289871641,-1.42957004612026
"78",147,32,0,NA,0,9,111,NA,1,"D00032","F",1999,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,NA,2,16.8,86,"WWTBOTH","","","","WWTBOTH",0.902652353577361,0.192311256791694,0.0926671463042928,111,-0.596234559041618,NA
"79",148,32,0,NA,0,10,130,301.8053272,2,"D00032","F",2000,"Yes","Yes","IRL-RHS","GB-MMR",NA,"No","Yes",NA,NA,2,16.32,87,"","","WWTOUT","","WWTOUT",1.21369002252518,0.192311256791694,-0.0429719455549764,130,0.527944169837395,NA
"80",154,34,0,NA,0,4,65,NA,1,"D00034","M",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",83,95,0,12.8,88,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,65,-0.596234559041618,1.57580893816335
"81",157,35,3,3,1,4,115,NA,1,"D00035","F",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",77,62,3,12.8,89,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,0.514396463185301,-1.03765861918962,115,-0.596234559041618,-1.62346546446114
"82",158,35,3,3,1,5,122,NA,1,"D00035","F",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",78,77,6,16,90,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,1.48065208236612,-0.133398006794489,122,-0.596234559041618,-0.169249826904554
"83",161,36,0,NA,0,4,130,NA,1,"D00036","F",1992,"Yes","Yes","GB-WEL","GB-WEL","IS-OSA","Yes","Yes",NA,NA,0,12.8,91,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,130,-0.596234559041618,NA
"84",165,38,0,NA,0,4,141,NA,1,"D00038","M",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",84,86,0,12.8,92,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,141,-0.596234559041618,0.703279555629398
"85",166,38,0,NA,0,5,95,NA,1,"D00038","M",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,84,0,16,93,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,-0.451859155995521,-0.133398006794489,95,-0.596234559041618,0.50938413728852
"86",170,39,0,NA,0,4,76,NA,1,"D00039","F",1992,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",NA,64,0,12.8,94,"WWTBOTH","","","","WWTBOTH",-0.652535991161719,-0.451859155995521,-1.03765861918962,76,-0.596234559041618,-1.42957004612026
"87",171,39,2,2,1,5,102,NA,1,"D00039","F",1993,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",69,NA,2,16,95,"WWTBOTH","","","","WWTBOTH",-0.341498322213903,0.192311256791694,-0.133398006794489,102,-0.596234559041618,NA
"88",172,39,0,NA,0,6,120,NA,1,"D00039","F",1994,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",70,69,2,17.9,96,"WWTBOTH","","","","WWTBOTH",-0.0304606532660867,0.192311256791694,0.403506731815117,120,-0.596234559041618,-0.944831500268067
"89",173,39,0,NA,0,7,108,NA,1,"D00039","F",1995,"Yes","Yes","GB-WEL","GB-WEL",NA,"Yes","Yes",80,70,2,18.29,97,"WWTBOTH","","","","WWTBOTH",0.280577015681729,0.192311256791694,0.513713493950773,108,-0.596234559041618,-0.847883791097627
"90",181,43,0,NA,0,4,122,NA,1,"D00043","M",2004,"Yes","Yes","GB-MMR","IRL-NSL",NA,"Yes","No",75,88,0,16.9,98,"","","","WWTIN","WWTIN",-0.652535991161719,-0.451859155995521,0.12092529044164,122,-0.596234559041618,0.897174973970276
